A0A061ACU2	A0A061ACU2
P00918	P35218
P00918	P43165
P00918	Q9QZA0
P00927	P00927
P00950	P00950
P00966	P00966
P00973	P00973
P00973	Q15646
P01100	P01100
P01100	P11939
P01100	P13346
P01100	P51145
P01100	P18625
P01111	P01111
P01111	P01112
P01111	P01116
P01111	P01119
P01111	P01120
P01111	P08646
P01111	P20171
P01111	P22981
P01111	P62070
P01111	G4MZY8
P01111	P61224
P01111	P10114
P01111	P62833
P01111	P62834
P01111	Q92963
P01111	P70425
P01111	Q99578
P01111	P70426
P01111	G4N1S3
P01111	O14966
P01111	Q13637
P01111	P06780
P01111	P48148
P01111	P61586
P01111	P62745
P01111	P62746
P01111	Q09914
P01111	Q10133
P01111	Q22038
P01111	O13928
P01111	P35288
P01111	P53879
P01111	P60763
P01111	P17081
P01111	P40793
P01111	P60766
P01111	P60953
P01111	P63000
P01111	Q03206
P01111	Q05062
P01111	Q38912
P01111	Q38919
P01111	Q6RUV5
P01111	Q7L0Q8
P01111	Q9H4E5
P01111	P97348
P01111	Q92730
P01111	Q9Z1Y0
P01111	P11234
P01111	P11233
P01111	P25378
P01111	P35293
P01111	P18066
P01111	P20339
P01111	P61020
P01111	Q0ILQ6
P01111	Q9V3I2
P01111	P51154
P01111	Q12829
P01111	P0C0E4
P01111	Q96S21
P01111	Q76NM7
P01111	Q969Q5
P01111	P35290
P01111	Q9FGK5
P01111	O01803
P01111	P17610
P01111	P62491
P01111	Q39222
P01111	Q9SRS5
P01111	O80501
P01111	P17608
P01111	P34213
P01111	Q9H0N0
P01111	Q9SMR4
P01111	P07560
P01111	P36017
P01111	P55258
P01111	F1PTE3
P01111	P51153
P01111	P61006
P01111	P62822
P01111	Q9SEH3
P01111	P57735
P01111	P63012
P01111	Q15286
P01111	Q9CB01
P01111	P28186
P01111	O24466
P01111	P51158
P01111	P63033
P01111	Q9JKF8
P01111	Q15382
P01111	Q9D3G9
P01111	Q9XWR6
P01111	P32836
P01111	P32835
P01111	P52301
P01111	P62826
P01111	P62827
P01111	Q9VZ23
P01111	O17915
P01111	P28748
P01111	P41917
P01111	Q9VUN3
P01111	P55041
P01111	P55040
P01111	O88667
P01111	Q9WTY2
P01111	Q6IMB1
P01129	P01129
P01129	J4KNE4
P06746	P06746
P06746	Q9UGP5
P06774	P06774
P06778	P06778
P06785	P06785
P06785	P04818
P06786	P06786
P06786	P08096
P06786	P11388
P06786	Q02880
P06786	P15348
P06786	Q23670
P06838	P06838
P06838	Q06182
P06838	P07992
P06838	J4UQI9
P06838	E9ENZ6
P06843	P06843
P07195	P07195
P07199	P07199
P07213	P07213
P07213	P38825
P07246	P07246
P07247	P07247
P07248	P07248
P07249	P07249
P07255	P07255
P07257	P07257
P07257	O60044
P07261	P07261
P07269	P07269
P07270	P07270
P07271	P07271
P07271	P38766
P07271	Q9UUA2
P07271	Q580X6
P07271	Q9H611
P07271	Q80SX8
P07272	P07272
P07274	P07274
P07274	Q42418
P07276	P07276
P07332	P07332
P07332	P16591
P07332	P24604
P07332	P42680
P07332	P43404
P07332	P43403
P07332	P70451
P07332	Q00655
P07332	O01798
P07332	P00520
P07332	P00519
P07332	P00522
P07332	P03949
P07332	P07948
P07332	A1A5H8
P07332	F1LM93
P07332	P00523
P07332	P05480
P07332	P07947
P07332	P09769
P07332	P12931
P07332	P14234
P07332	Q6P6U0
P07332	G5EE56
P07332	P06241
P07332	P39688
P07332	Q6EWH2
P07332	P08631
P07332	P06239
P07332	P06240
P07332	P08103
P07332	P50545
P07332	P42685
P07332	P41241
P07332	Q64434
P07332	Q13882
P07332	P42682
P07332	P42681
P07332	Q03526
P07332	Q06187
P07332	P35991
P07332	Q22146
P07663	P07663
P07703	P07703
P07703	O15160
P07768	P07768
P07768	O43451
P07768	P23739
P07834	P07834
P07834	O14170
P07834	P87060
P07884	P07884
P07884	Q9H3H1
P07910	P07910
P07910	Q64012
P07954	P07954
P07954	P08417
P07954	P14408
P07954	P93033
P07954	Q9FI53
P07978	P07978
P08011	P08011
P08050	P08050
P08050	P17302
P08050	P23242
P08050	P28231
P08050	O75712
P08050	P36383
P08050	Q02738
P08050	O95377
P08050	Q8BQU6
P08050	Q80XF7
P08050	Q9Y6H8
P08050	O95452
P08050	P29033
P08050	P70689
P08050	Q00977
P08050	P08033
P08050	P08034
P08050	P28230
P08050	P28234
P08050	P29414
P08050	P36381
P08050	P36382
P08050	P48165
P08050	P28236
P08050	P55917
P08050	Q5T442
P08050	Q8N144
P08050	Q9TU17
P08050	Q9UKL4
P08050	O54851
P08050	Q9WUS4
P08050	P28235
P08050	P35212
P08067	P08067
P08067	P07056
P08067	Q5ZLR5
P08067	Q9CR68
P08067	Q94JS0
P08067	Q9LYR2
P08153	P08153
P08153	P21192
Q02410	Q02410
Q02410	O35430
Q02447	Q02447
Q02447	O70494
Q02447	O89090
Q02447	P08047
Q02447	Q02086
Q02447	Q02446
Q02447	Q9XW26
Q02455	Q02455
Q02457	Q02457
Q02486	Q02486
Q02521	Q02521
Q02606	Q02606
Q02630	Q02630
Q02630	Q02629
Q02630	Q9UTK4
Q02630	P49687
Q02637	Q02637
Q02642	Q02642
Q02685	Q02685
Q02732	Q02732
Q02773	Q02773
Q02775	Q02775
Q02793	Q02793
Q02794	Q02794
Q02796	Q02796
Q02884	Q02884
Q02888	Q02888
Q02890	Q02890
Q02892	Q02892
Q02892	O44411
Q02892	Q9BZE4
Q02892	Q9U6A9
Q02931	Q02931
Q02950	Q02950
Q02959	Q02959
Q03018	Q03018
Q03063	Q03063
Q03067	Q03067
Q03071	Q03071
Q03081	Q03081
Q03081	Q12041
Q03111	Q03111
Q03111	P42568
Q03111	A2AM29
Q03124	Q03124
Q03188	Q03188
Q03200	Q03200
Q03200	Q96500
Q03213	Q03213
Q03219	Q03219
Q03280	Q03280
Q03305	Q03305
Q03330	Q03330
Q03330	Q92831
Q03330	Q92830
Q03372	Q03372
Q03373	Q03373
Q03388	Q03388
Q03433	Q03433
Q03435	Q03435
Q03455	Q03455
Q03468	Q03468
Q06211	Q06211
Q06213	Q06213
Q06266	Q06266
Q06324	Q06324
Q06339	Q06339
Q06340	Q06340
Q06389	Q06389
Q06389	P62168
Q06389	P62166
Q06389	P84076
Q06389	P84074
Q06389	Q9JM47
Q06389	Q6PIL6
Q06389	Q8R426
Q06389	Q99MG9
Q06389	Q9JJ57
Q06389	Q9JM59
Q06389	Q9NZI2
Q06389	Q9Y2W7
Q06389	P51177
Q06409	Q06409
Q06411	Q06411
Q06449	Q06449
Q06449	P53281
Q06493	Q06493
Q06493	Q08179
Q06493	Q9Z2I0
Q06493	O95202
Q06505	Q06505
Q06506	Q06506
Q06554	Q06554
Q06596	Q06596
Q06598	Q06598
Q06604	Q06604
Q06616	Q06616
Q06623	Q06623
Q06625	Q06625
Q06629	Q06629
Q06630	Q06630
Q06639	Q06639
Q06675	Q06675
Q06679	Q06679
Q06681	Q06681
Q06697	Q06697
Q06706	Q06706
Q06810	Q06810
Q06833	Q06833
Q07020	Q07020
Q07065	Q07065
Q07139	Q07139
Q07139	Q9H8V3
Q07163	Q07163
Q07243	Q07243
Q07243	Q14872
Q07307	Q07307
Q07381	Q07381
Q07418	Q07418
Q07436	Q07436
Q07508	Q07508
Q07508	Q7TNC4
Q07508	Q9USM4
Q07508	O95232
Q07532	Q07532
Q07688	Q07688
Q07794	Q07794
Q07800	Q07800
Q07807	Q07807
Q07845	Q07845
Q07878	Q07878
Q07896	Q07896
Q07896	Q8WTT2
Q07896	O94288
Q07913	Q07913
Q07914	Q07914
Q07914	Q78YY6
Q07914	Q9Y5T4
Q07914	Q9CQV7
Q07923	Q07923
Q07930	Q07930
Q07930	Q8W4D8
Q07930	Q8TAD8
Q07938	Q07938
Q07950	Q07950
Q08024	Q08024
Q08050	Q08050
Q08096	Q08096
Q08096	Q9Y2P8
Q08116	Q08116
Q08116	O43665
Q08116	P41220
Q08116	P49804
Q08116	Q9QZB1
Q08116	O76081
Q08116	Q9QZB0
Q08116	P79348
Q08215	Q08215
Q08230	Q08230
Q08230	Q9NX18
Q08231	Q08231
Q08235	Q08235
Q08235	Q8TDN6
Q08235	Q9HGL6
Q08236	Q08236
Q08245	Q08245
Q08278	Q08278
Q08278	O43513
Q08282	Q08282
Q08357	Q08357
Q08357	Q63488
Q08357	Q8WUM9
Q08417	Q08417
Q08444	Q08444
Q08492	Q08492
Q08509	Q08509
Q08558	Q08558
Q08558	Q05871
Q08605	Q08605
Q08683	Q08683
Q08702	Q08702
Q08702	O74859
Q08760	Q08760
Q08816	Q08816
Q08831	Q08831
Q08857	Q08857
Q08857	P16671
Q08857	Q07969
Q08857	Q61009
Q08857	Q8WTV0
Q08874	Q08874
Q08874	O75030
Q08874	H2KZZ2
Q08874	O14948
Q08874	Q64092
Q08874	P19532
Q08874	Q9R210
Q08874	P19484
Q08887	Q08887
Q08921	Q08921
Q08923	Q08923
Q08931	Q08931
Q08949	Q08949
Q08952	Q08952
Q08959	Q08959
Q08B36	Q08B36
Q08B36	Q3UZ45
Q08B36	D6RGH6
Q09014	Q09014
Q09014	P14598
Q09142	Q09142
Q09142	Q60862
Q09142	Q13416
Q09142	Q24168
Q09228	Q09228
Q09260	Q09260
Q09275	Q09275
Q09293	Q09293
Q09349	Q09349
Q09349	Q9ES00
Q09406	Q09406
Q09406	Q6KAU8
Q09601	Q09601
Q09666	Q09666
Q09683	Q09683
Q09683	P32829
Q09683	P49959
Q09683	Q23255
Q09685	Q09685
Q09725	Q09725
Q09728	Q09728
Q09750	Q09750
Q09750	P22579
Q09808	Q09808
Q09814	Q09814
Q09814	Q12052
Q09823	Q09823
Q09826	Q09826
Q09826	P53172
Q09838	Q09838
Q09884	Q09884
Q09924	Q09924
Q09961	Q09961
Q09967	Q09967
Q09969	Q09969
Q09LZ8	Q09LZ8
Q09LZ8	Q8CDK2
Q09LZ8	Q8CDP0
Q0D2I5	Q0D2I5
Q0D3I7	Q0D3I7
Q0E671	Q0E671
Q0E671	Q99KK2
Q0E671	Q8NFW8
Q0GGX2	Q0GGX2
Q0IGK1	Q0IGK1
Q0IIM8	Q0IIM8
Q0J995	Q0J995
Q0JFZ0	Q0JFZ0
Q0JJ05	Q0JJ05
Q0JJ05	Q9FLH0
Q0P5I5	Q0P5I5
Q0P5N6	Q0P5N6
Q0PNE2	Q0PNE2
Q0QWG9	Q0QWG9
Q0VD83	Q0VD83
Q0VD86	Q0VD86
Q0VDF9	Q0VDF9
Q0VDF9	Q8GUM2
Q0VDF9	P0CS90
Q0VDF9	P38646
Q0VDF9	P38647
Q0VDF9	P48721
Q0VDF9	Q05931
Q0VDF9	Q9LHA8
Q0VDF9	O65719
Q0VDF9	P0DMV8
Q0VDF9	P11142
Q0VDF9	P11147
Q0VDF9	P22953
Q0VDF9	P22954
Q0VDF9	Q5KKP4
Q0VDF9	P29357
Q0VDF9	Q9STW6
Q0VDF9	P11141
Q0VDF9	F4HQD4
Q0VDF9	Q9S7C0
Q0VDF9	Q61699
Q0VG06	Q0VG06
Q0WNP3	Q0WNP3
Q0WNP3	Q0WQW5
Q0WNP3	O22137
Q0WNP3	Q9CAY1
Q0WP44	Q0WP44
Q0WPF2	Q0WPF2
Q0WPZ7	Q0WPZ7
Q0WQ41	Q0WQ41
Q0WQG8	Q0WQG8
Q0WQG8	Q7X7S8
Q0WQG8	Q9XIP7
Q0WSX8	Q0WSX8
Q0WSX8	F4HT77
Q0WUA3	Q0WUA3
Q0WUY1	Q0WUY1
Q0WV90	Q0WV90
Q0WV90	Q94AI7
Q0WV90	Q0J7U6
Q0WV90	Q27GK7
Q0WVH0	Q0WVH0
Q0WVH0	Q9ZPV5
Q0ZLH2	Q0ZLH2
Q0ZLH2	O60443
Q10059	Q10059
Q10103	Q10103
Q10109	Q10109
Q10148	Q10148
Q10164	Q10164
Q10168	Q10168
Q10173	Q10173
Q10178	Q10178
Q10178	O75533
Q10198	Q10198
Q10223	Q10223
Q10274	Q10274
Q10331	Q10331
Q10336	Q10336
Q10337	Q10337
Q10341	Q10341
Q10362	Q10362
Q10423	Q10423
Q10426	Q10426
Q10429	Q10429
Q10429	Q06680
Q10432	Q10432
Q10571	Q10571
Q10574	Q10574
Q10585	Q10585
Q10665	Q10665
Q10666	Q10666
Q10740	Q10740
Q10953	Q10953
Q10990	Q10990
Q10B19	Q10B19
Q10F03	Q10F03
Q10F03	Q9LFY0
Q10FT0	Q10FT0
Q10L01	Q10L01
Q10PI9	Q10PI9
Q10R09	Q10R09
Q11107	Q11107
Q11120	Q11120
Q11120	P40032
Q11120	Q8N543
Q11184	Q11184
Q12018	Q12018
Q12033	Q12033
Q12038	Q12038
Q12045	Q12045
Q12046	Q12046
Q12050	Q12050
Q12063	Q12063
Q12068	Q12068
Q12068	P53111
Q12068	O35469
Q12068	P14060
Q12068	P22071
Q12068	P24815
Q12068	P26150
Q12068	P26439
Q12068	P27364
Q12068	Q61694
Q12068	Q61767
Q12068	O35296
Q12068	P14893
Q12080	Q12080
Q12082	Q12082
Q12094	Q12094
Q12098	Q12098
Q12106	Q12106
Q12124	Q12124
Q12142	Q12142
Q12146	Q12146
Q12150	Q12150
Q12158	Q12158
Q12166	Q12166
Q12166	P06208
Q12178	Q12178
Q12181	Q12181
Q12188	Q12188
Q12208	Q12208
Q12216	Q12216
Q12216	Q04195
Q12216	O94451
Q12223	Q12223
Q12246	Q12246
Q12262	Q12262
Q12275	Q12275
Q12277	Q12277
Q12285	Q12285
Q12297	Q12297
Q12305	Q12305
Q12305	Q08742
Q12309	Q12309
Q12309	Q9BZJ0
Q12315	Q12315
Q12318	Q12318
Q12321	Q12321
Q12333	Q12333
Q12334	Q12334
Q12339	Q12339
Q12341	Q12341
Q12341	G4N7S6
Q12343	Q12343
Q12361	Q12361
Q12363	Q12363
Q12363	Q03010
Q12366	Q12366
Q12373	Q12373
Q12382	Q12382
Q12383	Q12383
Q12386	Q12386
Q12400	Q12400
Q12400	Q9VR56
Q12400	Q8TBZ6
Q12406	Q12406
Q12416	Q12416
Q12440	Q12440
Q12445	Q12445
Q12457	Q12457
Q12462	Q12462
Q12462	Q00316
Q12462	Q00317
Q12476	Q12476
Q12476	P40507
Q6DYE4	Q6DYE4
Q6DYE8	Q6DYE8
Q6DYE8	P97675
Q6DYE8	O14638
Q6DYE8	P06802
Q6DYE8	P22413
Q6E434	Q6E434
Q6EIG7	Q6EIG7
Q6EIG7	P07306
Q6EIG7	Q8IUN9
Q6EIG7	Q8WTT0
Q6EIG7	Q8WXI8
Q6EIG7	Q9R0Q8
Q6EIG7	Q9ULY5
Q6EIG7	Q9UMR7
Q6EIG7	P79391
Q6EIG7	P78380
Q6EIG7	D3W0D1
Q6EIG7	P26718
Q6EIG7	O54709
Q6EIG7	Q6UXB4
Q6EIG7	P06734
Q6EMB2	Q6EMB2
Q6EPW7	Q6EPW7
Q6EPW7	Q9VCC0
Q6EPZ0	Q6EPZ0
Q6EPZ0	Q6QHD1
Q6EPZ0	Q6IEL0
Q6EPZ0	Q9C519
Q6F6B5	Q6F6B5
Q6FI81	Q6FI81
Q6GNV6	Q6GNV6
Q6GNV6	Q99708
Q6GPH4	Q6GPH4
Q6GQQ9	Q6GQQ9
Q6GYP7	Q6GYP7
Q6I621	Q6I621
Q6I621	Q14738
Q6I621	Q13362
Q6I621	Q15172
Q6I621	P38903
Q6I621	Q10428
Q6I621	Q8RW96
Q6I621	Q8LF36
Q6I621	Q9LU89
Q6I621	O04375
Q6I621	O04376
Q6I9Y2	Q6I9Y2
Q6IBW4	Q6IBW4
Q6ID70	Q6ID70
Q6ID70	Q8L7U4
Q6IDA6	Q6IDA6
Q6IDB0	Q6IDB0
Q6IDB6	Q6IDB6
Q6IDB6	P47058
Q6IDB6	Q7Z6V5
Q6IDB6	Q6P6J0
Q6IEG0	Q6IEG0
Q6IN84	Q6IN84
Q6IN84	P25270
Q6IPU0	Q6IPU0
Q6IQ20	Q6IQ20
Q6IQ49	Q6IQ49
Q6IQ55	Q6IQ55
Q6IR42	Q6IR42
Q6IUP1	Q6IUP1
Q6J9Q2	Q6J9Q2
Q6K271	Q6K271
Q6K271	O04425
Q6K431	Q6K431
Q6K431	Q9C5X4
Q6K881	Q6K881
Q6KCD5	Q6KCD5
Q6KCD5	Q6KC79
Q6KCD5	Q7PLI2
Q6KCD5	Q95XZ5
Q6L5B5	Q6L5B5
Q6L8Q7	Q6L8Q7
Q6MG82	Q6MG82
Q6NKS4	Q6NKS4
Q6NKS4	Q9SYX1
Q6NLW5	Q6NLW5
Q6NME7	Q6NME7
Q6NNL9	Q6NNL9
Q6NPM8	Q6NPM8
Q6NPS8	Q6NPS8
Q6NQK2	Q6NQK2
Q6NTE8	Q6NTE8
Q6NUF4	Q6NUF4
Q6NUF4	Q9ULW0
Q6NVF4	Q6NVF4
Q6NVF4	Q8NG08
Q6NVG5	Q6NVG5
Q6NVU6	Q6NVU6
Q6NVU6	Q99K23
Q6NW34	Q6NW34
Q6NXG1	Q6NXG1
Q6NXG1	Q9H6T0
Q6NZ36	Q6NZ36
Q6NZQ4	Q6NZQ4
Q6NZY4	Q6NZY4
Q6P087	Q6P087
Q6P0N0	Q6P0N0
Q6P1J9	Q6P1J9
Q6P1K2	Q6P1K2
Q6P1S2	Q6P1S2
Q6P1X5	Q6P1X5
Q6P1X5	Q24325
Q6P2C8	Q6P2C8
Q6P2D8	Q6P2D8
Q6P2E9	Q6P2E9
Q6P2H3	Q6P2H3
Q6P3S6	Q6P3S6
Q6P4F7	Q6P4F7
Q6P4H8	Q6P4H8
Q6P4H8	Q9BQD7
Q6P4Q7	Q6P4Q7
Q6P4Q7	Q3TWN3
Q6P4Q7	Q0GA42
Q6P4R8	Q6P4R8
Q6P587	Q6P587
Q6P587	P53889
Q6P587	Q93ZE5
Q6P587	Q9LUR3
Q6P589	Q6P589
Q6P589	Q3TBL6
Q6P5E8	Q6P5E8
Q6P5E8	D3ZEY4
Q6P5E8	P52824
Q6P6C2	Q6P6C2
Q6P6J4	Q6P6J4
Q6P6J4	Q6NS38
Q6P6J4	Q96Q83
Q6P7B7	Q6P7B7
Q6P7B7	Q3TXX3
Q6P8X9	Q6P8X9
Q6P9B9	Q6P9B9
Q6P9F0	Q6P9F0
Q6P9F0	E9PVD1
Q6PB66	Q6PB66
Q6PB66	P42704
Q6PB66	Q5SGE0
Q6PCD5	Q6PCD5
Q6PCM1	Q6PCM1
Q6PCP5	Q6PCP5
Q6PCP5	Q9GZY8
Q6PCQ0	Q6PCQ0
Q6PCT2	Q6PCT2
Q6PCT2	Q9Y2K7
Q6PCT2	Q8NHM5
Q6PD74	Q6PD74
Q6PDX6	Q6PDX6
Q6PDX6	Q5VTB9
Q6PE84	Q6PE84
Q6PE84	P27105
Q6PE84	Q99JB2
Q6PE84	Q9UJZ1
Q6PEY1	Q6PEY1
Q6PFD5	Q6PFD5
Q6PFD5	P97838
Q6PFD5	P97837
Q6PFD5	P97836
Q6PGP7	Q6PGP7
Q6PI26	Q6PI26
Q6PI48	Q6PI48
Q6PI77	Q6PI77
Q6PID8	Q6PID8
Q6PIU2	Q6PIU2
Q6PIV2	Q6PIV2
Q6PIZ9	Q6PIZ9
Q6PJ21	Q6PJ21
Q6PJF5	Q6PJF5
Q6PJG6	Q6PJG6
Q6PJG6	Q8C3R1
Q6PJP8	Q6PJP8
Q6PJT7	Q6PJT7
Q6PJT7	Q8BJ05
Q6PJT7	Q7TMD5
Q6PJW8	Q6PJW8
Q6PR54	Q6PR54
Q6PR54	Q5UIP0
Q6PRD7	Q6PRD7
Q6Q4D0	Q6Q4D0
Q6Q547	Q6Q547
Q6Q547	Q9NPE3
Q6R0G4	Q6R0G4
Q6R327	Q6R327
Q6RFH5	Q6RFH5
Q6RFZ7	Q6RFZ7
Q6RFZ7	Q66T02
Q6RI63	Q6RI63
Q6S591	Q6S591
Q6S5G3	Q6S5G3
Q6S5G3	O81283
Q6S5L8	Q6S5L8
Q6S5L8	P98083
Q6S5L8	P29353
Q6S5L8	Q6S5L9
Q6SKR2	Q6SKR2
Q6SKR2	Q03920
Q6SKR2	Q9Y5R4
Q6SZW1	Q6SZW1
Q6SZW1	Q6PDS3
Q6T4R5	Q6T4R5
Q6T938	Q6T938
Q6T938	O43427
Q6TA49	Q6TA49
Q6TA49	Q6PHW0
Q6TCH4	Q6TCH4
Q6TCH4	Q6ZVX9
Q6TCH4	Q801D8
Q6TCH4	Q801G2
Q6TCH4	Q8TEZ7
Q6TEC1	Q6TEC1
Q6TEC1	Q96DE0
Q6TEC1	Q9BRJ7
Q6UB28	Q6UB28
Q6UB28	Q9FV50
Q6UB28	O59730
Q6UB98	Q6UB98
Q6UB98	E9Q4F7
Q6UB98	Q6UB99
Q6UJY2	Q6UJY2
Q6UN15	Q6UN15
Q6UPE1	Q6UPE1
Q6UPE1	Q16134
Q6UPE1	Q08822
Q6UVM4	Q6UVM4
Q6UVM4	D3Z649
Q6UVM4	Q6UVM3
Q6UVM4	Q6ZPR4
Q6UVM4	Q9Z258
Q6UW78	Q6UW78
Q6UWF3	Q6UWF3
Q6UWF3	Q3UU41
Q6UWU4	Q6UWU4
Q6UWZ7	Q6UWZ7
Q6UWZ7	Q15018
Q6UXN9	Q6UXN9
Q6UXN9	Q9VLN1
Q6UXN9	P36104
Q6UXV4	Q6UXV4
Q6UXY1	Q6UXY1
Q6VMQ6	Q6VMQ6
Q6VMQ6	Q7TT18
Q6VNB8	Q6VNB8
Q6VNB8	Q8IZQ1
Q6VVB1	Q6VVB1
Q6VY05	Q6VY05
Q6VY05	Q8IYX4
Q6VY05	Q7T1H5
Q6W2J9	Q6W2J9
Q6W2J9	Q8CGN4
Q6WN19	Q6WN19
Q6WN19	O70622
Q6WNK7	Q6WNK7
Q6WRU0	Q6WRU0
Q6WRU0	Q10589
Q6WRU0	Q8R2Q8
Q6WRU0	Q811A2
Q6X7J9	Q6X7J9
Q6XQN6	Q6XQN6
Q6XR72	Q6XR72
Q6XR72	Q9Y6M5
Q6XR72	Q60738
Q6XR72	Q62720
Q6XUX1	Q6XUX1
Q6XUX1	Q6XUX3
Q6Y5D8	Q6Y5D8
Q6Y5D8	X2JDY8
Q6Y685	Q6Y685
Q6Y685	O75410
Q6YN16	Q6YN16
Q6YN16	Q2TPA8
Q6Z2G7	Q6Z2G7
Q6Z2G7	Q0J0G7
Q6Z2G7	A3BV95
Q6Z2G7	Q8GY61
Q6Z2G7	Q69WS3
Q6ZIK5	Q6ZIK5
Q6ZMT4	Q6ZMT4
Q6ZMT4	O75151
Q6ZMT4	Q9GYI0
Q6ZMT4	Q9UPP1
Q6ZMZ3	Q6ZMZ3
Q6ZMZ3	Q4FZC9
Q6ZN18	Q6ZN18
Q6ZNL6	Q6ZNL6
Q6ZPK0	Q6ZPK0
Q6ZPR5	Q6ZPR5
Q6ZPR5	Q9NXE4
Q6ZQL4	Q6ZQL4
Q6ZQL4	Q15061
Q6ZQX7	Q6ZQX7
Q6ZRI6	Q6ZRI6
Q6ZRQ5	Q6ZRQ5
Q6ZSB9	Q6ZSB9
Q6ZSB9	Q13105
Q6ZSS7	Q6ZSS7
Q6ZT62	Q6ZT62
Q6ZT62	Q9Y3L3
Q6ZTU2	Q6ZTU2
Q6ZV65	Q6ZV65
Q6ZVD7	Q6ZVD7
Q6ZVD7	B2RQL2
Q6ZVD8	Q6ZVD8
Q6ZVD8	Q9WTR8
Q6ZVD8	O60346
Q6ZWK4	Q6ZWK4
Q6ZWQ0	Q6ZWQ0
Q6ZWQ0	Q8WXH0
Q6ZWS8	Q6ZWS8
Q6ZWS8	O43791
Q6ZWS8	P34568
Q6ZWS8	Q9VFP2
Q6ZWS8	Q8L765
Q6ZWS8	O22286
Q6ZWS8	Q9M8J9
Q6ZWS8	Q1EBV6
Q6ZWS8	A1L4W5
Q6ZY51	Q6ZY51
Q700C7	Q700C7
Q700C7	Q56YJ8
Q708Y0	Q708Y0
Q708Y0	Q9SKK0
Q709R6	Q709R6
Q70CQ1	Q70CQ1
Q70CQ1	Q9H0E7
Q70CQ3	Q70CQ3
Q70CQ3	Q3UN04
Q70EL2	Q70EL2
Q70EL3	Q70EL3
Q70Z53	Q70Z53
Q71BG9	Q71BG9
Q71RC2	Q71RC2
Q71RC2	Q92615
Q71SY5	Q71SY5
Q75GR5	Q75GR5
Q75GR5	G5EFF1
Q75GR5	O01367
Q75GR5	Q32NN2
Q75GR5	Q9QYS9
Q75GR5	Q96PU8
Q75LV6	Q75LV6
Q75NZ0	Q75NZ0
Q75NZ0	O23813
Q75NZ0	Q9LZ66
Q75QN2	Q75QN2
Q75WF1	Q75WF1
Q764M6	Q764M6
Q764M6	P70671
Q764M6	Q14653
Q764M6	P70434
Q764M6	Q92985
Q76FK4	Q76FK4
Q76JU9	Q76JU9
Q76JU9	O14842
Q76KJ5	Q76KJ5
Q76KJ5	O15446
Q76NL8	Q76NL8
Q76NM6	Q76NM6
Q76NM6	P50516
Q78T81	Q78T81
Q7DMA9	Q7DMA9
Q7FZF1	Q7FZF1
Q7FZF1	Q9LTB8
Q7FZF1	O81445
Q7FZF1	Q7FRS8
Q7FZF1	Q75KU4
Q7FZF1	Q9SUA6
Q7FZF1	Q9FUQ7
Q7FZF1	O81223
Q7JM44	Q7JM44
Q7JRE4	Q7JRE4
Q7JWP6	Q7JWP6
Q7JXA8	Q7JXA8
Q7JXF5	Q7JXF5
Q7JXF5	P37198
Q7JXF5	P17955
Q7K3D8	Q7K3D8
Q7K3D8	Q9NPF5
Q7K3D8	Q9JI44
Q7K3L1	Q7K3L1
Q7K4M4	Q7K4M4
Q7K4V4	Q7K4V4
Q7K4V4	Q9H8T0
Q7KHG2	Q7KHG2
Q7KMJ6	Q7KMJ6
Q7KMJ6	Q0VBL3
Q7KMJ6	Q96T37
Q7KMJ6	Q8NDT2
Q7KRI2	Q7KRI2
Q7KTX8	Q7KTX8
Q7KWJ5	Q7KWJ5
Q7KWJ5	Q8MUM2
Q7KZN9	Q7KZN9
Q7KZN9	P40086
Q7KZN9	Q10361
Q7L0Y3	Q7L0Y3
Q7L0Y3	Q7JUX9
Q7L2Z9	Q7L2Z9
Q7L3V2	Q7L3V2
Q7L4E1	Q7L4E1
Q7L4E1	Q8NAN2
Q7L592	Q7L592
Q7L592	Q54S83
Q7L5D6	Q7L5D6
Q7L5N1	Q7L5N1
Q7L5N1	Q95PZ0
Q7L5Y1	Q7L5Y1
Q7L5Y9	Q7L5Y9
Q7L5Y9	Q4VC33
Q7L804	Q7L804
Q7L804	G3XA57
Q7L804	Q9BXF6
Q7L8L6	Q7L8L6
Q7LDG7	Q7LDG7
Q7LDG7	Q8TDF6
Q7LDG7	Q8BTM9
Q7LDG7	Q9R1K8
Q7LDG7	O95267
Q7LL22	Q7LL22
Q7M3M8	Q7M3M8
Q7M750	Q7M750
Q7RTY1	Q7RTY1
Q7SH52	Q7SH52
Q7SH52	P07756
Q7SH52	P31327
Q7SH52	Q8C196
Q7SH52	P27708
Q7SIG6	Q7SIG6
Q7SIG6	O43150
Q7SIG6	A1Z7A6
Q7TMA4	Q7TMA4
Q7TMA4	Q5NUL3
Q7TMF2	Q7TMF2
Q7TMF2	Q8IV48
Q7TN79	Q7TN79
Q7TN79	Q6JP77
Q7TNG8	Q7TNG8
Q7TNG8	Q94AX4
Q7TNG8	P32891
Q7TNK1	Q7TNK1
Q7TNK1	P22670
Q7TNK1	B2GV50
Q7TNK1	P48381
Q7TNK1	P48380
Q7TNK1	Q09555
Q7TNK1	Q8C7R7
Q7TNK1	Q8HWS3
Q7TNS8	Q7TNS8
Q7TNV0	Q7TNV0
Q7TNV0	P35659
Q7TNV0	Q6AXS3
Q7TP54	Q7TP54
Q7TQD2	Q7TQD2
Q7TQD2	O94811
